resultString,participantGuid,participantGroup
"['TPC,0,1494015094.13376','TB,0,1494015095.66531','TF,0,1494015098.08314','TFP,0,1494015101.16868','FP,312,1494015121.69568','BP,446,1494015123.06286','BP,37,1494015123.84711']",328D89DF-CE88-460D-8943-6623855A2699,4
"['BG,0,1494021353.03729','FG,0,1494021356.76747','TB,0,1494022028.85229','TF,0,1494022030.88673','TPC,0,1494022033.90219','TBP,0,1494022036.12088','TFP,0,1494022039.17111','BG,0,144022085.73809','FG,0,1494022095.75476','BP,795,1494022103.8189','P,678,1494022117.80214','C,678,1494022118.35159','BG,0,1494022428.68426','FG,0,1494022432.52514','BG,0,1494022773.0352&qot;,'FG,0,1494022776.27433','B,11792,1494022790.18466','P,14923,1494022991.57391','C,14923,1494022992.3986']",FA8E6CBB-148A-4609-AFB5-9F96CBCF310C,1
"['P,118,1494022945.91231','C,118,1494022946.48682']",C60E4FDE-1917-4464-9AAF-C32FA7DD87BB,4
,83CCB0EC-239A-4366-AF65-A7BDF07A1BD2,2
"['BG,0,1494018406.17996','FG,0,1494026234.13678','TB,0,1494026819.19676','TF,0,1494026821.76289','TB,0,1494026823.89896','TBP,0,1494026826.89798','TFP,0,1494026828.9376','TPC,0,149026832.11491','BG,0,1494026983.86088','FG,0,1494026991.02249','BG,0,1494027100.23144','FG,0,1494027105.92714','BG,0,1494027168.58078','FG,0,1494027172.44157','B,5585,1494027185.57719&qut;,'P,7191,1494027322.90343','C,7191,1494027323.53402','BG,0,1494027494.91783','FG,0,1494027580.73818','F,10065,1494027586.88647']",A52955B9-2887-462B-8511-2C9B89832F82,1
"['BG,0,1494018406.17996','FG,0,1494026234.13678','TB,0,1494026819.19676','TF,0,1494026821.76289','TB,0,1494026823.89896','TBP,0,1494026826.89798','TFP,0,1494026828.9376','TPC,0,149026832.11491','BG,0,1494026983.86088','FG,0,1494026991.02249','BG,0,1494027100.23144','FG,0,1494027105.92714','BG,0,1494027168.58078','FG,0,1494027172.44157','B,5585,1494027185.57719&qut;,'P,7191,1494027322.90343','C,7191,1494027323.53402','BG,0,1494027494.91783','FG,0,1494027580.73818','F,10065,1494027586.88647']",A52955B9-2887-462B-8511-2C9B89832F82,1
"['TB,0,1494035980.47549','TF,0,1494035982.37286','TPC,0,1494035984.82602','TBP,0,1494035986.55744','TF,0,1494035988.52507','TBP,0,1494035991.55849','TF,0,1494035993.72453','TB,0,144035996.37491','TFP,0,1494035999.47576']",F3C8412F-F29E-452F-B1C4-4327A33ADFB4,1
,34B1A1FE-96EC-4E6E-A36B-16FB87141FBA,3
,34B1A1FE-96EC-4E6E-A36B-16FB87141FBA,3
,34B1A1FE-96EC-4E6E-A36B-16FB87141FBA,3
,A36B261D-F88F-4EFC-8A2F-E5C7DAB1845F,4
,A36B261D-F88F-4EFC-8A2F-E5C7DAB1845F,4
,A36B261D-F88F-4EFC-8A2F-E5C7DAB1845F,4
"['TF,0,1494202378.61548','TF,0,1494202381.23241','TF,0,1494202384.33252','TF,0,1494202387.04776','TF,0,1494202391.6628','TF,0,1494202395.48385','TF,0,1494202398.31609','TPC,0,149422400.67862','TPC,0,1494202403.07953','TPC,0,1494202405.21365','TPC,0,1494202406.9515','TPC,0,1494202409.41689','TPC,0,1494202411.40106','TF,0,1494202413.40012','TF,0,1494202415.45148&qut;,'TBP,0,1494202418.38439','TF,0,1494202421.77069','TF,0,1494202421.81531','B,0,1494202425.63109','P,1,1494202426.85043','F,1,1494202428.50374','F,87,1494202432.78668','BP,386,149202442.64298']",DC7F0BB6-E473-4DE9-AAC9-100EFD732D66,1
,3227B235-B00E-4A57-9813-90528CC836B1,0
,3227B235-B00E-4A57-9813-90528CC836B1,0
"['F,87,1494278311.13731','F,231,1494278311.90373','F,312,1494278312.38571','F,423,1494278312.75197','F,552,1494278313.03502','F,690,1494278313.30158','F,905,1494278313.5696','F,100,1494278313.81821','F,1089,1494278314.05206','B,1291,1494278314.58734','P,1111,1494278315.72173','C,1111,1494278316.28722','F,1137,1494278317.78712','B,1282,1494278318.21889','F,1089,144278318.53528','F,1291,1494278319.08693','F,1439,1494278319.31862','F,1452,1494278319.53685','F,1492,1494278319.75208','F,1583,1494278319.96898','F,1645,1494278320.18535','F,1844,149427320.41905','F,1925,1494278320.6688','F,2036,1494278320.92009','F,2069,1494278321.15204','F,2168,1494278321.40242','F,2302,1494278321.63556','F,2369,1494278321.88576','F,2515,1494278322.3549','F,2564,1494278322.38622','F,2676,1494278322.61883','F,2849,1494278322.86932','F,2949,1494278323.11904','F,3285,1494278325.47075','F,3450,1494278325.7527','F,3552,1494278326.00261','F,3685,1494278326.21942','F,3777,1494278326.45251','F,3865,1494278326.68666','F,3932,1494278326.93599','F,3950,1494278327.16945','F,4046,1494278327.40253','F,4145,1494278327.63727&quo;,'F,4220,1494278327.88594','F,4366,1494278328.12002','F,4465,1494278328.33589','F,4684,1494278328.55292','F,4764,1494278328.78764','F,4793,1494278329.00275','F,4901,1494278329.21947',&uot;F,5086,1494278329.43606','F,5623,1494278329.66981','F,5636,1494278329.88675','F,5655,1494278330.10272','F,5752,1494278330.32001','F,5822,1494278330.51933','F,6011,1494278330.73625',&quotF,6135,1494278330.93605','F,6208,1494278331.15378','F,6315,1494278331.36942','F,6355,1494278331.5866','F,6539,1494278331.83602','F,6780,1494278332.01955','F,6914,1494278332.23695','F,701,1494278332.46947','F,7205,1494278332.6864','F,7296,1494278332.91962','F,7504,1494278333.13658','F,7571,1494278333.35286','F,7670,1494278333.56981','F,7793,1494278333.7876','F,7902,149278334.03646','F,8127,1494278334.28643','F,8280,1494278334.51989','F,8345,1494278334.76972','F,8493,1494278335.02065','F,8579,1494278335.23623','F,8696,1494278335.48668','F,8826,149427835.71969','F,9041,1494278335.95361','F,9054,1494278336.1871','F,9089,1494278336.40307','F,9332,1494278336.63648','F,9491,1494278336.88667','F,9667,1494278337.13648','F,9746,1494278337.3013','F,9909,1494278337.63792','F,9979,1494278337.87055','F,10031,1494278338.10333','F,10133,1494278338.33655','F,10240,1494278338.57086','F,10333,1494278338.80314','F,10536,1494278339.5357','F,10730,1494278339.30326','F,10839,1494278339.55475','F,10923,1494278339.78659','F,11033,1494278340.03698','F,11255,1494278340.27148','F,11389,1494278340.50327','F,11482,149427830.7367','F,11663,1494278340.98686','F,11834,1494278341.23752','F,11909,1494278341.47024','F,12023,1494278341.70371','F,12142,1494278341.93675','F,12305,1494278342.17059','F,12382,149427342.38668','F,12541,1494278342.63973','F,12616,1494278342.85344','F,12781,1494278343.10399','F,12953,1494278343.35361','F,13142,1494278343.60396','F,13229,1494278343.82018','F,13402,149278344.07054','F,13575,1494278344.3039','F,13743,1494278344.55459','F,13893,1494278344.78695','F,13950,1494278345.03728','F,14034,1494278345.28702','F,14136,1494278345.52173','F,14176,194278345.75362','F,14225,1494278346.00495','F,14323,1494278346.25373','F,14562,1494278346.52075','F,14637,1494278346.75368','F,14711,1494278346.98787','F,14806,1494278347.23717','F,1491,1494278347.47065','F,15017,1494278347.72203','F,15092,1494278347.97048','F,15202,1494278348.18757','F,15321,1494278348.43712','F,15394,1494278348.67202','F,15445,1494278348.9205']",42E2F2E5-62EF-417D-AE5A-FB7FE292A027,3
"['TB,0,1494423756.99176','TF,0,1494423759.80985','TBP,0,1494423764.36245','TFP,0,1494423767.24618','TPC,0,1494423773.86813','P,175,1494423785.09092','B,175,1494423786.62344','F,702,1494424197.53054']",2B5FE5BF-B6F0-4D7A-966C-3FB2A0186AA1,2
"['TB,0,1494429858.20107','TB,0,1494429860.85196','TF,0,1494429863.34746','TPC,0,1494429865.58075','P,14905,1494430751.65749','P,14915,1494430751.77233','C,14915,1494430756.98799']",7C3ADEDB-4C36-4147-96D3-5D5603169D82,3
,B5898488-6013-45E3-80A0-D7B97AD2629D,1
,B5898488-6013-45E3-80A0-D7B97AD2629D,1
,101AC70F-4E04-4590-B034-D21CFA3DC0F7,1
,3E88FD9F-FAC4-42FD-B6EE-AEC9DC3B1EC9,2
,7E63890D-E67F-4A0C-8345-C8855F2D647C,0
,7E63890D-E67F-4A0C-8345-C8855F2D647C,0
,71DCB15B-1C2C-41AE-9197-A663D2DE390E,0
,71DCB15B-1C2C-41AE-9197-A663D2DE390E,0
"['BG,0,1498496756.57148','FG,0,1498505783.21088','BG,0,1498506089.68911','FG,0,1498506103.42443','BG,0,1498506208.71133','FG,0,1498506234.35318','TBP,0,1498506335.6742','F,47,149856341.30597','F,282,1498506345.16261','B,332,1498506346.89012','B,231,1498506347.82339','BP,27,1498506348.44096','FP,27,1498506350.8734','BP,513,1498506355.99197','BP,27,1498506356.3753&uot;,'BP,0,1498506356.7421','BP,0,1498506357.09203','B,0,1498506357.4573','P,0,1498506357.54143','B,0,1498506357.8237','P,0,1498506357.92473','BP,0,1498506358.25878','BP,0,149850638.70913','B,0,1498506359.5074','B,0,1498506359.80744','B,0,1498506360.09035','B,0,1498506360.37387','B,2041,1498506479.51479','B,1925,1498506479.86491','B,1844,1498506480.14868',&qot;B,1645,1498506480.44687','F,1589,1498506480.83201','F,1645,1498506481.1649','F,1844,1498506481.48198','F,1925,1498506481.7818','F,2036,1498506482.0992','F,2069,1498506482.41519','F,268,1498506482.76528','F,2306,1498506483.08185','F,2369,1498506483.39876','F,2515,1498506483.7151','F,2564,1498506484.04874','F,2680,1498506484.38178','F,2849,1498506484.71517','F,2949,198506485.01538','F,3245,1498506485.38216','FP,3457,1498506486.53381','FP,3950,1498506486.9502','FP,4469,1498506487.38382','F,4793,1498506487.91525','P,4793,1498506488.01638','F,4793,149506488.26534','F,5086,1498506488.58246','FP,5623,1498506489.54948','F,5623,1498506489.58424','FP,5752,1498506489.88365','FP,6011,1498506490.18403','FP,6539,1498506490.51582','F,6914,149506490.81532','FP,7086,1498506491.66789','P,7086,1498506491.78341','FP,7086,1498506491.98377','FP,8345,1498506492.30064','P,9041,1498506492.65194','F,9041,1498506492.86568','FP,9054,149506493.18411','FP,9089,1498506493.48411','FP,9491,1498506493.83445','F,10536,1498506494.11591','FP,10730,1498506494.43279','FP,11255,1498506494.76748','F,12023,1498506495.04976','FP,1212,1498506495.35081','F,12616,1498506495.64824','FP,12781,1498506495.94881','FP,13229,1498506496.23421','FP,14136,1498506496.55095','FP,14348,1498506498.31772','FP,14722,1498506499.16785',&qut;FP,14722,1498506500.11806','F,14753,1498506502.93349','F,14820,1498506504.03299','F,14923,1498506504.70009','F,15023,1498506505.16646','F,15096,1498506505.68342','F,15202,1498506506.1503','F,15329,1498506506.71664','F,15394,1498506507.20009','F,15453,1498506507.9501','F,15471,1498506508.80018','F,15500,1498506510.53382']",D36436E3-2399-4817-B863-D3742C691F7E,3
